Type an 'x' in this column to bookmark this school in the 'Programs' tab,School Name,"School DBN Code (Link to NYC School Finder)",Borough,Number of Programs at School,10th Grade Seats Offered?,School Type,"Neighborhood (Link to map of school address)","School Graduation Rate (Links to School Quality Snapshot)",Student Attendance Rate,Percent of students who feel safe,AP Courses Offered? (Link to AP Courses tab),Bilingual Programs at School?,CTE Offered? (Link to CTE Programs tab),Site Accessibility,DBN Ref,Bookmark
,High School for Innovation in Advertising and Media,18K617,BK,1,,,Canarsie,80%,87%,86%,Yes,,Yes,Not Accessible,18K617,0
,High School for Law and Public Service,06M467,M,1,,,Washington Heights N.,63%,88%,76%,Yes,TBE: Spanish,Yes,Accessible,06M467,0
,High School for Law Enforcement and Public Safety,28Q690,Q,1,,,Baisley Park,74%,93%,74%,Yes,,,Accessible,28Q690,0
,"High School for Law, Advocacy and Community Justice",03M492,M,1,Yes,,Lincoln Square,73%,85%,74%,Yes,,,Accessible,03M492,0
,"High School for Mathematics, Science and Engineering at City College (HSMSE)",05M692,M,1,Yes,Specialized HS,Manhattanville,98%,96%,97%,Yes,,Yes,Accessible,05M692,0
,High School for Media and Communications,06M463,M,1,,,Washington Heights N.,55%,83%,79%,Yes,TBE: Spanish,,Accessible,06M463,0
,High School for Medical Professions,18K633,BK,1,Yes,,Canarsie,95%,92%,84%,Yes,,,Not Accessible,18K633,0
,High School for Public Service: Heroes of Tomorrow,17K546,BK,3,Yes,,Prospect Lefferts Gardens,96%,92%,89%,Yes,,,Not Accessible,17K546,0
,High School for Service & Learning at Erasmus,17K539,BK,1,Yes,,Flatbush,69%,87%,76%,Yes,,,Accessible,17K539,0
,High School for Teaching and the Professions,10X433,BX,1,Yes,,Van Cortlandt Village,59%,82%,84%,Yes,,Yes,Accessible,10X433,0
,High School for Violin and Dance,09X543,BX,1,,,Morrisania-Melrose,66%,79%,74%,Yes,,,Accessible,09X543,0
,High School for Youth and Community Development at Erasmus,17K537,BK,2,Yes,,Flatbush,80%,89%,79%,Yes,,,Accessible,17K537,0
,High School of American Studies at Lehman College,10X696,BX,1,Yes,Specialized HS,Van Cortlandt Village,99%,97%,97%,Yes,,,Accessible,10X696,0
,High School of Applied Communication,24Q267,Q,1,,,Hunters Point-Sunnyside,82%,88%,91%,Yes,,,Accessible,24Q267,0
,High School of Arts and Technology,03M494,M,2,Yes,,Lincoln Square,64%,77%,76%,Yes,,,Accessible,03M494,0
,High School of Computers and Technology,11X275,BX,1,,,Williamsbridge-Olinville,77%,87%,87%,Yes,,Yes,Accessible,11X275,0
,High School of Economics and Finance,02M489,M,1,,,Lower Manhattan,74%,89%,85%,Yes,,Yes,Accessible,02M489,0
,High School of Hospitality Management,02M296,M,1,,,Clinton,82%,85%,90%,Yes,,,Accessible,02M296,0
,High School of Language and Innovation,11X509,BX,1,Yes,School for New Arrivals,Bronxdale,73%,89%,76%,Yes,,,Accessible,11X509,0
,High School of Sports Management,21K348,BK,1,Yes,,Gravesend,71%,81%,80%,Yes,,,Accessible,21K348,0
,High School of Telecommunication Arts and Technology,20K485,BK,1,Yes,,Bay Ridge,88%,93%,95%,Yes,,Yes,Accessible,20K485,0
,High School of World Cultures,12X550,BX,1,Yes,School for New Arrivals,West Farms-Bronx River,56%,85%,74%,Yes,DL: Spanish,,Accessible,12X550,0
,Hillcrest High School,28Q505,Q,8,Yes,,Briarwood-Jamaica Hills,76%,90%,100%,Yes,TBE: Spanish,Yes,Accessible,28Q505,0
,Hillside Arts & Letters Academy,28Q325,Q,1,,,Briarwood-Jamaica Hills,81%,86%,89%,Yes,,,Not Accessible,28Q325,0
,Holcombe L. Rucker School of Community Research,08X332,BX,1,Yes,,Longwood,59%,85%,84%,Yes,,,Not Accessible,08X332,0
,Hostos-Lincoln Academy of Science,07X500,BX,1,Yes,Early College,Melrose S.-Mott Haven N.,83%,92%,79%,,,,Accessible,07X500,0
,Hudson High School of Learning Technologies,02M437,M,1,Yes,,Chelsea-Union Sq,73%,83%,84%,,,,Accessible,02M437,0
,Humanities & Arts Magnet High School,29Q498,Q,2,Yes,,Cambria Heights,76%,88%,74%,Yes,,,Accessible,29Q498,0
,Humanities Preparatory Academy,02M605,M,1,,"Performance Assessment School, Transfer School",Chelsea-Union Sq,N/A,85%,97%,,,,Accessible,02M605,0
,Independence High School,02M544,M,1,Yes,Transfer School,Clinton,N/A,60%,100%,,,,Accessible,02M544,0
,Information Technology High School,30Q502,Q,1,Yes,,Hunters Point-Sunnyside,78%,90%,81%,Yes,,Yes,Accessible,30Q502,0
,Institute for Collaborative Education (ICE),02M407,M,1,,Performance Assessment School,Gramercy,93%,92%,91%,,,,Accessible,02M407,0
,Institute for Health Professions at Cambria Heights,29Q243,Q,1,Yes,Performance Assessment School,Cambria Heights,N/A,91%,87%,,,Yes,Accessible,29Q243,0
,In-Tech Academy (M.S. / High School 368),10X368,BX,1,,,Spuyten Duyvil-Kingsbridge,84%,93%,80%,Yes,,Yes,Accessible,10X368,0
,International Community High School,07X334,BX,1,Yes,"Performance Assessment School, School for New Arrivals",Mott Haven-Port Morris,58%,83%,84%,,,,Not Accessible,07X334,0
,International High School at Lafayette,21K337,BK,1,Yes,"Performance Assessment School, School for New Arrivals",Gravesend,77%,91%,79%,,,,Accessible,21K337,0
,International High School at LaGuardia Community College,24Q530,Q,1,Yes,"Performance Assessment School, School for New Arrivals, Early College",Hunters Point-Sunnyside,85%,92%,97%,,,,Accessible,24Q530,0
,International High School at Prospect Heights,17K524,BK,1,Yes,"Performance Assessment School, School for New Arrivals",Crown Heights South,70%,87%,85%,,,,Accessible,17K524,0
,International High School at Union Square,02M438,M,1,Yes,"Performance Assessment School, School for New Arrivals",Gramercy,54%,84%,81%,,,,Accessible,02M438,0
,International High School for Health Sciences,24Q236,Q,1,Yes,"Performance Assessment School, School for New Arrivals",Elmhurst,N/A,93%,82%,,,Yes,Not Accessible,24Q236,0
,International School for Liberal Arts,10X342,BX,1,,,Van Cortlandt Village,67%,93%,84%,Yes,TBE: Spanish,,Accessible,10X342,0
,Inwood Early College for Health and Information Technologies,06M211,M,1,Yes,"Early College, 9-14 School",Inwood,N/A,92%,91%,,,Yes,Not Accessible,06M211,0
,It Takes a Village Academy,18K563,BK,3,Yes,,East Flatbush,92%,92%,73%,Yes,,,Accessible,18K563,0
,Jacqueline Kennedy Onassis High School,02M529,M,1,Yes,,Midtown,63%,80%,86%,Yes,,Yes,Accessible,02M529,0
,Jamaica Gateway to the Sciences,28Q350,Q,1,,,Briarwood-Jamaica Hills,90%,91%,86%,Yes,,,Not Accessible,28Q350,0
,James Madison High School,22K425,BK,3,Yes,,Madison,81%,92%,74%,Yes,,Yes,Accessible,22K425,0
,John Adams High School,27Q480,Q,8,Yes,,South Ozone Park,62%,83%,71%,Yes,"TBE: Bengali, Spanish",Yes,Accessible,27Q480,0
,John Bowne High School,25Q425,Q,5,Yes,,Kew Gardens Hills,70%,82%,74%,Yes,"TBE: Chinese, Spanish",Yes,Accessible,25Q425,0
,John Dewey High School,21K540,BK,6,Yes,,Gravesend,70%,86%,73%,Yes,TBE: Chinese,Yes,Not Accessible,21K540,0
,John Jay School for Law (Secondary School for Law),15K462,BK,1,Yes,,Park Slope-Gowanus,89%,86%,88%,Yes,,,Accessible,15K462,0
,Juan Morel Campos Secondary School,14K071,BK,4,Yes,,Williamsburg,48%,86%,83%,Yes,,,Accessible,14K071,0
,Khalil Gibran International Academy,15K592,BK,1,Yes,,DUMBO-Downtown Brooklyn,N/A,90%,86%,,,,Not Accessible,15K592,0
,Kingsborough Early College School,21K468,BK,1,,Early College,Gravesend,94%,91%,76%,Yes,,,Accessible,21K468,0
,Kingsbridge International High School,10X268,BX,1,,School for New Arrivals,Van Cortlandt Village,66%,87%,87%,,,,Accessible,10X268,0
,Knowledge and Power Preparatory Academy International High School (KAPPA),10X374,BX,2,Yes,,Belmont,79%,85%,89%,,TBE: Spanish,,Accessible,10X374,0
,Kurt Hahn Expeditionary Learning School,18K569,BK,1,Yes,Performance Assessment School,East Flatbush,76%,91%,82%,,,,Accessible,18K569,0
,Landmark High School,02M419,M,1,Yes,Performance Assessment School,Chelsea-Union Sq,52%,82%,87%,,,,Accessible,02M419,0
,Leadership and Public Service High School,02M425,M,2,Yes,,Lower Manhattan,64%,79%,82%,Yes,,,Accessible,02M425,0
,Leadership Institute,09X276,BX,1,Yes,,Claremont-Bathgate,28%,75%,77%,Yes,,,Not Accessible,09X276,0
,Leon M. Goldstein High School for the Sciences,22K535,BK,1,Yes,,Manhattan Beach,99%,96%,94%,Yes,,,Accessible,22K535,0
,Liberation Diploma Plus High School,21K728,BK,1,Yes,Transfer School,Seagate-Coney Island,N/A,55%,96%,,,,Not Accessible,21K728,0
,Life Academy High School for Film and Music,21K559,BK,1,Yes,,Gravesend,95%,88%,85%,,,Yes,Accessible,21K559,0
,Life Sciences Secondary School,02M655,M,2,Yes,,Yorkville,81%,83%,58%,Yes,,,Not Accessible,02M655,0
,Long Island City High School,30Q450,Q,8,Yes,,Astoria,65%,80%,83%,Yes,DL: Spanish; TBE: Spanish,Yes,Accessible,30Q450,0
,Lower Manhattan Arts Academy,02M308,M,1,Yes,,Chinatown,67%,90%,87%,,,,Not Accessible,02M308,0
,Lyons Community School,14K586,BK,1,Yes,Performance Assessment School,East Williamsburg,65%,80%,86%,,,,Not Accessible,14K586,0
,M.S. 223 The Laboratory School of Finance and Technology,07X223,BX,2,,Performance Assessment School,Mott Haven-Port Morris,N/A,94%,94%,Yes,DL: Spanish,,Not Accessible,07X223,0
,Manhattan / Hunter Science High School,03M541,M,1,Yes,Early College,Lincoln Square,99%,98%,93%,,,,Accessible,03M541,0
,Manhattan Academy for Arts & Language,02M427,M,1,Yes,,Murray Hill-Kips Bay,54%,85%,77%,,TBE: Spanish,,Accessible,02M427,0
,Manhattan Bridges High School,02M542,M,4,Yes,,Clinton,94%,92%,97%,Yes,DL: Spanish; TBE: Spanish,Yes,Accessible,02M542,0
,Manhattan Business Academy,02M392,M,1,Yes,,Chelsea-Union Sq,87%,86%,81%,,,Yes,Accessible,02M392,0
,Manhattan Center for Science and Mathematics,04M435,M,2,Yes,,East Harlem North,95%,93%,93%,Yes,DL: Spanish; TBE: Spanish,,Accessible,04M435,0
,Manhattan Early College School for Advertising,02M280,M,1,Yes,"Early College, 9-14 School",Chinatown,N/A,94%,89%,,,Yes,Accessible,02M280,0
,Manhattan International High School,02M459,M,1,,"Performance Assessment School, School for New Arrivals",Lenox Hill,73%,90%,92%,,,,Accessible,02M459,0
,Manhattan Village Academy,02M439,M,1,Yes,,Chelsea-Union Sq,98%,98%,95%,Yes,,,Not Accessible,02M439,0
,Marble Hill High School for International Studies,10X477,BX,2,Yes,,Spuyten Duyvil-Kingsbridge,91%,94%,82%,Yes,,,Accessible,10X477,0
,Marta Valle High School,01M509,M,1,Yes,,Chinatown,48%,77%,84%,,,,Accessible,01M509,0
,Martin Van Buren High School,26Q435,Q,4,Yes,,Bellerose,55%,84%,67%,Yes,,,Accessible,26Q435,0
,Maspeth High School,24Q585,Q,1,,,Maspeth,97%,92%,89%,Yes,,,Accessible,24Q585,0
,"Mathematics, Science Research and Technology Magnet High School",29Q492,Q,1,Yes,,Cambria Heights,65%,89%,77%,Yes,,,Accessible,29Q492,0
,Medgar Evers College Preparatory School,17K590,BK,2,Yes,,Crown Heights South,96%,94%,84%,Yes,,,Accessible,17K590,0
,Metropolitan Diploma Plus High School,23K647,BK,1,Yes,Transfer School,Brownsville,N/A,68%,94%,,,,Accessible,23K647,0
,Metropolitan Expeditionary Learning School,28Q167,Q,1,,,Forest Hills,N/A,95%,90%,Yes,,,Accessible,28Q167,0
,"Metropolitan High School, The",12X248,BX,1,,,Longwood,65%,83%,85%,Yes,,,Accessible,12X248,0
,Middle College High School at LaGuardia Community College,24Q520,Q,1,Yes,"Performance Assessment School, Early College",Hunters Point-Sunnyside,66%,93%,93%,,,,Accessible,24Q520,0
,Midwood High School,22K405,BK,4,Yes,,Flatbush,91%,94%,86%,Yes,,Yes,Not Accessible,22K405,0
,Millennium Art Academy,08X312,BX,1,Yes,,Castle Hill-Clason Point,61%,86%,85%,Yes,,,Accessible,08X312,0
,Millennium Brooklyn HS,15K684,BK,1,Yes,,Park Slope-Gowanus,95%,94%,90%,Yes,,,Accessible,15K684,0
,Millennium High School,02M418,M,1,Yes,,Lower Manhattan,100%,96%,96%,Yes,,,Accessible,02M418,0
,Monroe Academy for Visual Arts & Design,12X692,BX,1,Yes,,West Farms-Bronx River,52%,77%,74%,,TBE: Spanish,,Accessible,12X692,0
,Morris Academy for Collaborative Studies,09X297,BX,1,,,Morrisania-Melrose,65%,80%,87%,,,,Accessible,09X297,0
,Mott Hall Bronx High School,09X252,BX,1,,,Claremont-Bathgate,80%,86%,86%,,,,Accessible,09X252,0
,Mott Hall High School,05M304,M,1,,,Central Harlem North,69%,87%,81%,,,,Not Accessible,05M304,0
,Mott Hall V,12X242,BX,1,,,West Farms-Bronx River,83%,90%,94%,Yes,,,Accessible,12X242,0
,Mott Haven Village Preparatory High School,07X473,BX,1,,,Melrose S.-Mott Haven N.,45%,80%,87%,Yes,,,Not Accessible,07X473,0
,Multicultural High School,19K583,BK,1,Yes,School for New Arrivals,Cypress Hills,54%,85%,76%,Yes,TBE: Spanish,,Accessible,19K583,0
,Murray Hill Academy,02M432,M,1,Yes,Transfer School,Murray Hill-Kips Bay,N/A,80%,89%,,,,Accessible,02M432,0
,Murry Bergtraum High School for Business Careers,02M520,M,2,Yes,,Chinatown,48%,73%,74%,Yes,"TBE: Chinese, Spanish",Yes,Accessible,02M520,0
,Nelson Mandela High School,16K765,BK,1,,,Bedford-Stuyvesant,N/A,86%,81%,,,,Accessible,16K765,0
,New Design High School,02M543,M,1,,,Chinatown,75%,85%,94%,Yes,,,Not Accessible,02M543,0
,New Directions Secondary School,09X350,BX,1,,Transfer School,E. Concourse-Concourse Village,N/A,66%,99%,,TBE: Spanish,,Accessible,09X350,0
,New Dorp High School,31R440,SI,9,Yes,,New Dorp-Midland Beach,77%,89%,83%,Yes,,Yes,Accessible,31R440,0
,"New Explorations into Science, Technology and Math High School (NEST+m)",01M539,M,1,Yes,,Lower East Side,98%,95%,93%,Yes,,,Not Accessible,01M539,0
,New Explorers High School,07X547,BX,4,Yes,,E. Concourse-Concourse Village,58%,81%,76%,Yes,,,Accessible,07X547,0
,New Utrecht High School,20K445,BK,7,Yes,,Bensonhurst West,74%,88%,81%,Yes,TBE: Chinese,Yes,Accessible,20K445,0
,New World High School,11X513,BX,1,,School for New Arrivals,Williamsbridge-Olinville,88%,91%,86%,,,,Accessible,11X513,0
,Newcomers High School,30Q555,Q,1,,School for New Arrivals,Queensbridge-LIC,72%,91%,88%,Yes,"TBE: Chinese, Spanish",,Not Accessible,30Q555,0
,Newtown High School,24Q455,Q,4,Yes,,Elmhurst,59%,87%,85%,Yes,"TBE: Chinese, Spanish",Yes,Not Accessible,24Q455,0
,NYC iSchool,02M376,M,1,Yes,,SoHo-Tribeca,99%,94%,95%,Yes,,,Not Accessible,02M376,0
,NYC Lab School for Collaborative Studies,02M412,M,1,Yes,,Chelsea-Union Sq,96%,94%,96%,Yes,,,Accessible,02M412,0
,NYC Museum School,02M414,M,1,Yes,,Chelsea-Union Sq,100%,95%,95%,Yes,,,Accessible,02M414,0
,Orchard Collegiate Academy (Henry Street School),01M292,M,1,,,Lower East Side,64%,77%,73%,Yes,,,Accessible,01M292,0
,Origins High School,22K611,BK,1,Yes,,Sheepshead Bay,N/A,89%,83%,,,,Accessible,22K611,0
,Pablo Neruda Academy,08X305,BX,1,Yes,,Castle Hill-Clason Point,59%,84%,74%,Yes,,,Accessible,08X305,0
,Pace High School,02M298,M,1,,,Chinatown,88%,93%,97%,Yes,,,Accessible,02M298,0
,Pan American International High School,24Q296,Q,1,Yes,"Performance Assessment School, School for New Arrivals",Elmhurst,76%,90%,85%,Yes,,,Accessible,24Q296,0
,Pan American International High School at Monroe,12X388,BX,1,,"Performance Assessment School, School for New Arrivals",West Farms-Bronx River,88%,89%,99%,Yes,,,Accessible,12X388,0
,Park East High School,04M495,M,1,Yes,,East Harlem South,97%,92%,97%,Yes,,,Not Accessible,04M495,0
,Park Slope Collegiate,15K464,BK,2,,,Park Slope-Gowanus,65%,89%,81%,,,,Accessible,15K464,0
,Pathways College Preparatory School: A College Board School,29Q259,Q,2,,,Hollis,70%,91%,80%,Yes,,,Not Accessible,29Q259,0
,Pathways in Technology Early College High School (P-TECH),17K122,BK,1,,"Early College, 9-14 School",Crown Heights North,72%,92%,86%,,,Yes,Accessible,17K122,0
,Pelham Lab High School,08X320,BX,1,Yes,,Schuylerville-Throgs Neck,N/A,90%,70%,,,,Accessible,08X320,0
,Pelham Preparatory Academy,11X542,BX,1,Yes,,Bronxdale,86%,93%,81%,Yes,,,Accessible,11X542,0
,Performing Arts and Technology High School,19K507,BK,4,Yes,,East New York,69%,81%,75%,Yes,TBE: Spanish,,Not Accessible,19K507,0
,Port Richmond High School,31R445,SI,8,Yes,,Port Richmond,64%,88%,81%,Yes,DL: Spanish,Yes,Accessible,31R445,0
,Preparatory Academy for Writers: A College Board School,29Q283,Q,1,Yes,,Springfield Gardens North,76%,89%,87%,Yes,,,Accessible,29Q283,0
,Professional Pathways High School,22K630,BK,1,Yes,Transfer School,Sheepshead Bay,N/A,66%,99%,,,,Accessible,22K630,0
,Professional Performing Arts High School (PPAS),02M408,M,4,Yes,,Clinton,98%,94%,89%,Yes,,,Not Accessible,02M408,0
,PROGRESS High School for Professional Careers,14K474,BK,4,Yes,,Bushwick,68%,83%,75%,,TBE: Spanish,,Accessible,14K474,0
,Queens Collegiate: A College Board School,28Q310,Q,1,,,Briarwood-Jamaica Hills,78%,86%,83%,Yes,,,Not Accessible,28Q310,0
,Queens Gateway to Health Sciences Secondary School,28Q680,Q,1,Yes,,Flushing Heights-Hillcrest,98%,96%,88%,Yes,,,Accessible,28Q680,0
,"Queens High School for Information, Research, and Technology",27Q302,Q,2,Yes,,Far Rockaway-Bayswater,55%,86%,76%,,,Yes,Not Accessible,27Q302,0
,Queens High School for Language Studies,25Q241,Q,1,Yes,,Flushing,N/A,94%,94%,Yes,TBE: Chinese,,Not Accessible,25Q241,0
,Queens High School for the Sciences at York College,28Q687,Q,1,Yes,Specialized HS,Jamaica,98%,97%,100%,Yes,,,Accessible,28Q687,0
,"Queens High School of Teaching, Liberal Arts and the Sciences",26Q566,Q,1,Yes,,Bellerose,91%,92%,81%,Yes,,,Accessible,26Q566,0
,Queens Metropolitan High School,28Q686,Q,1,Yes,,Forest Hills,92%,91%,93%,Yes,,,Accessible,28Q686,0
,Queens Preparatory Academy,29Q248,Q,1,,,Springfield Gardens North,76%,87%,72%,Yes,,,Accessible,29Q248,0
,"Queens School of Inquiry, The",25Q252,Q,1,,Early College,Kew Gardens Hills,93%,94%,89%,Yes,,,Not Accessible,25Q252,0
,Queens Vocational and Technical High School,24Q600,Q,5,Yes,,Hunters Point-Sunnyside,80%,91%,83%,Yes,,Yes,Accessible,24Q600,0
,Quest to Learn,02M422,M,2,,,Chelsea-Union Sq,N/A,89%,76%,Yes,,,Accessible,02M422,0
,Rachel Carson High School for Coastal Studies,21K344,BK,1,Yes,,West Brighton,84%,86%,86%,Yes,,,Accessible,21K344,0
,Ralph R. McKee Career and Technical Education High School,31R600,SI,7,Yes,,New Brighton-St. George,63%,87%,84%,Yes,,Yes,Accessible,31R600,0
,Renaissance High School for Musical Theater & Technology,08X293,BX,1,Yes,,Schuylerville-Throgs Neck,74%,83%,84%,Yes,,,Accessible,08X293,0
,Repertory Company High School for Theatre Arts,02M531,M,1,Yes,,Midtown,100%,93%,98%,Yes,,,Accessible,02M531,0
,Richard R. Green High School of Teaching,02M580,M,2,Yes,,Lower Manhattan,62%,85%,84%,Yes,,,Accessible,02M580,0
,Richmond Hill High School,27Q475,Q,3,Yes,,Richmond Hill,55%,85%,76%,Yes,TBE: Spanish,Yes,Not Accessible,27Q475,0
,Riverdale / Kingsbridge Academy (Middle School / High School 141) (RKA),10X141,BX,1,,,Fieldston-Riverdale,79%,91%,80%,Yes,,,Accessible,10X141,0
,Robert F. Kennedy Community High School,25Q670,Q,1,Yes,,Kew Gardens Hills,84%,92%,83%,Yes,,,Not Accessible,25Q670,0
,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",24Q560,Q,2,Yes,,Hunters Point-Sunnyside,83%,91%,94%,Yes,,,Accessible,24Q560,0
,Robert H. Goddard High School of Communication Arts and Technology,27Q308,Q,1,Yes,,Ozone Park,92%,92%,92%,Yes,,,Accessible,27Q308,0
,Rockaway Collegiate High School,27Q351,Q,1,,,Breezy Point-Rockaway Park,53%,81%,66%,Yes,,,Accessible,27Q351,0
,Rockaway Park High School for Environmental Sustainability,27Q324,Q,2,Yes,,Breezy Point-Rockaway Park,54%,78%,78%,Yes,,,Accessible,27Q324,0
,Scholars' Academy,27Q323,Q,1,,,Breezy Point-Rockaway Park,99%,95%,96%,Yes,,,Accessible,27Q323,0
,School for Democracy and Leadership,17K533,BK,2,Yes,,Prospect Lefferts Gardens,54%,80%,81%,,,,Not Accessible,17K533,0
,School for Excellence,09X404,BX,1,Yes,,Morrisania-Melrose,61%,75%,82%,,,,Accessible,09X404,0
,School for International Studies,15K497,BK,2,Yes,,DUMBO-Downtown Brooklyn,65%,87%,65%,Yes,DL: French,Yes,Not Accessible,15K497,0
,School for Legal Studies,14K477,BK,2,Yes,,Bushwick,40%,78%,76%,Yes,TBE: Spanish,Yes,Accessible,14K477,0
,School for Tourism and Hospitality,08X559,BX,1,,,Morrisania-Melrose,N/A,83%,85%,,,,Accessible,08X559,0
,School of the Future High School,02M413,M,1,Yes,Performance Assessment School,Gramercy,97%,94%,94%,Yes,,,Accessible,02M413,0
,Schuylerville Preparatory High School,08X348,BX,1,,,Schuylerville-Throgs Neck,N/A,90%,85%,,,,Accessible,08X348,0
,"Science Skills Center High School for Science, Technology and the Creative Arts",13K419,BK,6,Yes,,DUMBO-Downtown Brooklyn,73%,90%,76%,Yes,,Yes,Accessible,13K419,0
,"Science, Technology and Research Early College High School at Erasmus (STAR)",17K543,BK,1,Yes,Early College,Flatbush,97%,96%,88%,Yes,,Yes,Accessible,17K543,0
,Secondary School for Journalism,15K463,BK,1,Yes,,Park Slope-Gowanus,64%,80%,83%,,,,Accessible,15K463,0
,South Bronx Preparatory: A College Board School,07X221,BX,1,,,Mott Haven-Port Morris,92%,90%,91%,Yes,,,Not Accessible,07X221,0
,Special Music School,03M859,M,1,Yes,,Lincoln Square,N/A,96%,90%,,,,Not Accessible,03M859,0
,Spring Creek Community School,19K422,BK,2,,,Bergen Beach,N/A,91%,90%,,,,Accessible,19K422,0
,Staten Island Technical High School,31R605,SI,1,Yes,Specialized HS,New Dorp-Midland Beach,99%,97%,99%,Yes,,Yes,Accessible,31R605,0
,Stephen T. Mather Building Arts & Craftsmanship High School,02M139,M,1,Yes,,Clinton,N/A,88%,85%,,,Yes,Not Accessible,02M139,0
,Stuyvesant High School,02M475,M,1,Yes,Specialized HS,Lower Manhattan,99%,97%,96%,Yes,,,Accessible,02M475,0
,Sunset Park High School,15K667,BK,1,,,Sunset Park West,67%,86%,85%,Yes,,,Accessible,15K667,0
,Susan E. Wagner High School,31R460,SI,8,Yes,,Todt Hill-Heartland Village,79%,91%,80%,Yes,,Yes,Accessible,31R460,0
,Talent Unlimited High School,02M519,M,5,Yes,,Lenox Hill-Roosevelt Is,96%,93%,94%,Yes,,Yes,Accessible,02M519,0
,Teachers Preparatory High School,23K697,BK,2,Yes,,Brownsville,68%,82%,74%,Yes,,,Accessible,23K697,0
,The Bronxwood Preparatory Academy,11X514,BX,1,,,Williamsbridge-Olinville,63%,91%,76%,Yes,,,Accessible,11X514,0
,The Brooklyn Academy of Global Finance,16K688,BK,1,,,Bedford-Stuyvesant,62%,81%,87%,,,Yes,Not Accessible,16K688,0
,The Brooklyn School for Math and Research (BSMARt),32K168,BK,1,Yes,,Bushwick,77%,88%,80%,Yes,,,Accessible,32K168,0
,The Cinema School,12X478,BX,1,Yes,,West Farms-Bronx River,98%,90%,94%,Yes,,,Accessible,12X478,0
,The College Academy,06M462,M,1,Yes,,Washington Heights N.,52%,85%,86%,Yes,TBE: Spanish,,Accessible,06M462,0
,The Global Learning Collaborative,03M403,M,1,,,Upper West Side,77%,87%,83%,Yes,,,Accessible,03M403,0
,"The High School for Enterprise, Business and Technology",14K478,BK,4,Yes,,Bushwick,76%,89%,92%,Yes,TBE: Spanish,Yes,Accessible,14K478,0
,The High School for Global Citizenship,17K528,BK,4,Yes,,Crown Heights South,59%,87%,85%,Yes,,,Accessible,17K528,0
,The High School For Language And Diplomacy,02M399,M,1,Yes,,Gramercy,71%,87%,75%,Yes,,,Accessible,02M399,0
,The High School of Fashion Industries,02M600,M,3,Yes,,Chelsea-Union Sq,91%,94%,90%,Yes,,Yes,Accessible,02M600,0
,"The Marie Curie School for Medicine, Nursing, and Health Professions",10X237,BX,1,,,Van Cortlandt Village,69%,86%,81%,Yes,,,Not Accessible,10X237,0
,The Maxine Greene High School for Imaginative Inquiry,03M299,M,1,Yes,,Lincoln Square,78%,83%,83%,Yes,,Yes,Accessible,03M299,0
,The Metropolitan Soundview High School,12X521,BX,1,,,West Farms-Bronx River,76%,79%,85%,Yes,,,Accessible,12X521,0
,The Michael J. Petrides School,31R080,SI,2,,,Todt Hill-Heartland Village,83%,90%,86%,Yes,,,Accessible,31R080,0
,"The School for Classics: An Academy of Thinkers, Writers and Performers",19K683,BK,2,Yes,,East New York,81%,84%,81%,,,,Not Accessible,19K683,0
,The School for Human Rights,17K531,BK,1,Yes,,Prospect Lefferts Gardens,81%,91%,86%,Yes,,,Not Accessible,17K531,0
,The Urban Assembly Bronx Academy of Letters,07X551,BX,1,Yes,,Mott Haven-Port Morris,64%,83%,79%,Yes,,,Accessible,07X551,0
,The Urban Assembly School for Collaborative Healthcare,19K764,BK,1,Yes,,Cypress Hills,N/A,89%,62%,,,Yes,Accessible,19K764,0
,The Urban Assembly School for Emergency Management,02M135,M,1,,,Chinatown,N/A,88%,93%,Yes,,Yes,Accessible,02M135,0
,The Urban Assembly School for Global Commerce,05M157,M,1,Yes,,Central Harlem North,N/A,89%,86%,Yes,,Yes,Accessible,05M157,0
,The Urban Assembly School for Green Careers,03M402,M,1,Yes,,Upper West Side,66%,84%,78%,Yes,,Yes,Accessible,03M402,0
,The Urban Assembly School for Law and Justice,13K483,BK,1,Yes,,DUMBO-Downtown Brooklyn,86%,92%,90%,Yes,,,Accessible,13K483,0
,Theater Arts Production Company School (TaPCO),10X225,BX,5,Yes,,Mount Hope,77%,89%,84%,Yes,,,Accessible,10X225,0
,Thomas A. Edison Career and Technical Education High School,28Q620,Q,7,Yes,,Briarwood-Jamaica Hills,89%,94%,81%,Yes,,Yes,Accessible,28Q620,0
,Thurgood Marshall Academy for Learning and Social Change,05M670,M,1,Yes,,Central Harlem North,81%,92%,80%,Yes,,,Accessible,05M670,0
,Tottenville High School,31R455,SI,4,Yes,,Annadale-Huguenot-Princes Bay,86%,91%,80%,Yes,,Yes,Accessible,31R455,0
,Townsend Harris High School,25Q525,Q,1,Yes,,Kew Gardens Hills,100%,98%,97%,Yes,,Yes,Accessible,25Q525,0
,Transit Tech Career and Technical Education High School,19K615,BK,7,Yes,,East New York,58%,86%,69%,Yes,,Yes,Accessible,19K615,0
,Union Square Academy for Health Sciences,02M533,M,2,,,Gramercy,N/A,91%,84%,Yes,,Yes,Accessible,02M533,0
,Unity Center for Urban Technologies,02M500,M,1,Yes,,Murray Hill-Kips Bay,79%,86%,92%,Yes,,,Accessible,02M500,0
