Bookmarked Schools,School Name,School DBN,Neighborhood,Subway Information,Bus Information
,Gramercy Arts High School,02M374,Gramercy,"1, 2, 3, F, M to 14th St - 6th Ave ; 4, 5, 6, L, N, Q, R to 14th St-Union Square ; L to 3rd Ave","BM1, BM2, BM3, BM4, BxM10, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M34A-SBS, M5, M7, M8, M9, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9"
,Green School: An Academy for Environmental Careers,14K454,East Williamsburg,"G to Metropolitan Ave-Lorimer St; J, M to Lorimer St; L to Grand St","B24, B43, B46, B48, B60, Q54, Q59"
,Greenpoint Art and Technical High School (Frances Perkins Academy),14K632,Williamsburg,G to Nassau Ave; L to Bedford Ave,"B32, B43, B48, B62"
,Gregorio Luperon High School for Science and Mathematics,06M552,Washington Heights S.,"1, A, C to 168th St - Washington Hts","Bx6, Bx7, M100, M101, M2, M3, M4, M5"
,Grover Cleveland High School,24Q485,Ridgewood,N/A,"B13, B38, B57, Q38, Q39, Q54, Q58, Q67, QM24, QM25"
,Harry S Truman High School,11X455,Co-op City,5 to Baychester Ave,"Bx12, Bx12-SBS, Bx23, Bx26, Bx28, Bx29, Bx30, Bx38, Bx5, BxM7, Q50"
,Harvest Collegiate High School,02M534,West Village,"1, 2, 3, F, L, M to 14th St - 6th Ave ; 4, 5, 6, N, Q, R to 14th St-Union Square ; A, B, C, D, E to West 4th St","BxM10, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M12, M14A, M14D, M2, M20, M23, M3, M5, M7, M8, X1, X10, X10B, X12, X14, X17, X27, X28, X37, X38, X42, X63, X64, X68, X7, X9"
,Health Opportunities High School,07X670,West Concourse,"2 to 149th St-Grand Concourse ; 3 to 145th St ; 4, 5 to 138th St - Grand Concourse ; 6 to 3rd Ave - 138th St","Bx1, Bx13, Bx15, Bx19, Bx2, Bx21, Bx32, Bx33, M1, M102, M7"
,Herbert H. Lehman High School,08X405,Schuylerville-Throgs Neck,6 to Westchester Sq - East Tremont Ave,"Bx21, Bx24, Bx31, Bx4, Bx40, Bx42, Bx4A, Bx8"
,"Heritage School, The",04M680,East Harlem South,6 to 103rd St,"BxM1, BxM11, BxM2, BxM3, BxM4, M1, M101, M102, M103, M106, M15, M15-SBS, M2, M3, M4, M96, M98"
