Bookmarked Schools,Program Information,,,,,,,Program Demand,,,,Program Priorities,Selection Criteria (previous year's minimum grades),,,,,,Demonstrated Interest Used?,Additional Requirements?
,School Name,School DBN,Borough,Program Code and Name,Admissions Method,Grade Level,Interest Area,GE Applicants Per Seat,GE Filled?,SWD Applicants Per Seat,SWD Filled?,Percent of Offers to Students in the First Priority Group,English Course Grade,Math Course Grade,Social Studies Course Grade,Science Course Grade,English Standardized Test Score,Math Standardized Test Score,,
,Edward R. Murrow High School,21K525,BK,K57A - Communication Arts,Ed. Opt.,9/10,Communications,9,Y,5,Y,8% of offers went to residents in Brooklyn Area A,,,,,,,,
,Edward R. Murrow High School,21K525,BK,K57B - Bilingual Chinese (Mandarin) Communication Arts,Screened: Language,9/10,Communications,10,Y,2,N,100% of offers went to students whose home language is Chinese (Mandarin),,,,,,,,
,Edward R. Murrow High School,21K525,BK,K57C - Bilingual Spanish Communication Arts,Screened: Language,9/10,Communications,7,N,5,N,100% of offers went to students whose home language is Spanish,,,,,,,,
,Edward R. Murrow High School,21K525,BK,K57J - Vocal Music,Audition*: pre-registration,9/10,Performing Arts,9,Y,6,Y,100% of offers went to Brooklyn students or residents,80,75,80,80,,,,Yes
,Edward R. Murrow High School,21K525,BK,K57K - Fine and Visual Arts,Audition*: pre-registration,9/10,Visual Art & Design,9,Y,6,Y,100% of offers went to Brooklyn students or residents,80,74,75,70,,,,Yes
,Edward R. Murrow High School,21K525,BK,K57L - Instrumental Music,Audition*: pre-registration,9/10,Performing Arts,6,Y,2,N,100% of offers went to Brooklyn students or residents,75,70,75,75,,,,Yes
,Edward R. Murrow High School,21K525,BK,K57P - Studio Theatre,Audition*: pre-registration,9,Performing Arts,11,Y,5,Y,100% of offers went to Brooklyn students or residents,80,80,85,80,2.5,2.4,,Yes
,High School of Telecommunication Arts and Technology,20K485,BK,K59A - Telecommunication Arts and Technology,Ed. Opt.,9/10,Humanities & Interdisciplinary,12,Y,9,Y,100% of offers went to Brooklyn students or residents,,,,,,,,
,Automotive High School,14K610,BK,K60J - Automotive Service Center Specialist,Ed. Opt.,9/10,Engineering,3,N,7,N,N/A: Open to New York City residents,,,,,,,Yes,
,Automotive High School,14K610,BK,"K60L - Automotive Business Technology, Computer Repair & Electronics",Ed. Opt.,9/10,Engineering,4,N,9,Y,N/A: Open to New York City residents,,,,,,,Yes,
,Automotive High School,14K610,BK,K60R - Engineering,Limited Unscreened,9/10,Engineering,3,N,6,N,100% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Automotive High School,14K610,BK,K60S - Mechanical Engineering,Screened,9,Engineering,3,N,5,N,N/A: Open to New York City residents,55,63,55,55,1.8,1.8,,Yes
,Automotive High School,14K610,BK,K60T - Law Enforcement Academy,Limited Unscreened,9/10,Law & Government,3,N,5,N,89% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Performing Arts and Technology High School,19K507,BK,K61D - Dance,Limited Unscreened,9/10,Performing Arts,11,Y,13,Y,14% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,Performing Arts and Technology High School,19K507,BK,K61M - Music,Limited Unscreened,9/10,Performing Arts,9,Y,9,Y,3% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,Performing Arts and Technology High School,19K507,BK,K61R - Technology,Ed. Opt.,9/10,Computer Science & Technology,21,Y,27,Y,N/A: Open to New York City residents,,,,,,,Yes,
,Performing Arts and Technology High School,19K507,BK,K61T - Drama/Theater Arts,Ed. Opt.,9/10,Performing Arts/Visual Art & Design,5,N,6,N,N/A: Open to New York City residents,,,,,,,Yes,
,FDNY – Captain Vernon A. Richards High School for Fire and Life Safety,19K502,BK,K62X - FDNY – Captain Vernon A. Richards High School for Fire and Life Safety,Limited Unscreened,9,Humanities & Interdisciplinary,5,N,9,Y,5% of offers went to students who reside in the geographical catchment area who attend an information session,,,,,,,Yes,
,High School for Civil Rights,19K504,BK,K63X - High School for Civil Rights and Law,Limited Unscreened,9/10,Law & Government,2,N,3,N,Program did not indicate attendance at information sessions for any students in this group,,,,,,,Yes,
,High School for Public Service: Heroes of Tomorrow,17K546,BK,K64A - Law Academy – HSPS,Screened,9/10,Law & Government,11,N,5,N,91% of offers went to Brooklyn students or residents,74,60,65,70,2.2,2.0,Yes,Yes
,High School for Public Service: Heroes of Tomorrow,17K546,BK,K64B - Medical Academy – HSPS,Screened,9/10,Health Professions,7,Y,2,N,100% of offers went to Brooklyn students or residents,65,65,65,65,1.9,1.9,Yes,Yes
,High School for Public Service: Heroes of Tomorrow,17K546,BK,K64C - Public Service Academy: Social Action & Leadership,Ed. Opt.,9/10,Humanities & Interdisciplinary,13,Y,14,Y,100% of offers went to Brooklyn students or residents,,,,,,,Yes,
,World Academy for Total Community Health High School (WATCH),19K510,BK,K65A - CNA Certified Nursing Assistant Program with Phlebotomy and EKG Technician,Limited Unscreened,9,Science & Math,3,N,2,N,100% of offers went to students who reside in the geographical catchment area who attend an information session,,,,,,,Yes,
,World Academy for Total Community Health High School (WATCH),19K510,BK,K65B - Sports Management,Limited Unscreened,9/10,Communications,N/A,N/A,N/A,N/A,N/A: New Program,,,,,,,Yes,
,World Academy for Total Community Health High School (WATCH),19K510,BK,K65X - Public Health and Service,Limited Unscreened,9/10,Health Professions,3,N,2,N,9% of offers went to students who reside in the geographical catchment area who attend an information session,,,,,,,Yes,
,William E. Grady Career and Technical Education High School,21K620,BK,K67A - Culinary Arts,Ed. Opt.,9/10,Culinary Arts,3,N,8,N,N/A: Open to New York City residents,,,,,,,,
,William E. Grady Career and Technical Education High School,21K620,BK,K67E - Information Technology,Ed. Opt.,9/10,Computer Science & Technology,4,N,7,N,N/A: Open to New York City residents,,,,,,,,
,William E. Grady Career and Technical Education High School,21K620,BK,K67H - Health Career Profession,Ed. Opt.,9,Health Professions,2,N,1,N,N/A: Open to New York City residents,,,,,,,,
,William E. Grady Career and Technical Education High School,21K620,BK,K67N - Automotive Technology,Ed. Opt.,9/10,Engineering,3,N,8,N,N/A: Open to New York City residents,,,,,,,,
,William E. Grady Career and Technical Education High School,21K620,BK,K67R - Construction Technology Academy,Ed. Opt.,9/10,Engineering,1,N,4,N,N/A: Open to New York City residents,,,,,,,,
,W. H. Maxwell Career and Technical Education High School,19K660,BK,K68A - Design Technology,Ed. Opt.,9/10,Visual Art & Design,2,N,4,N,N/A: Open to New York City residents,,,,,,,,
,W. H. Maxwell Career and Technical Education High School,19K660,BK,K68C - Medical Careers,Ed. Opt.,9/10,Health Professions,1,N,1,N,N/A: Open to New York City residents,,,,,,,,
,W. H. Maxwell Career and Technical Education High School,19K660,BK,K68J - Beauty Science & Technology,Ed. Opt.,9/10,Cosmetology,3,N,4,N,N/A: Open to New York City residents,,,,,,,,
,Transit Tech Career and Technical Education High School,19K615,BK,K69B - Computer Forensic Science and Technology,Limited Unscreened,9/10,Computer Science & Technology,N/A,N/A,N/A,N/A,N/A: New Program,,,,,,,Yes,
,Transit Tech Career and Technical Education High School,19K615,BK,K69K - Transit Industrial Electronics,Screened,9/10,Engineering,2,N,3,N,N/A: Open to New York City residents,55,55,55,55,1.8,1.7,,Yes
,Transit Tech Career and Technical Education High School,19K615,BK,K69L - Transit Industrial Electrician,Screened,9/10,Engineering,2,N,3,N,N/A: Open to New York City residents,55,55,55,55,1.8,1.7,,Yes
,Transit Tech Career and Technical Education High School,19K615,BK,K69M - Transit Technician Technology,Screened,9/10,Engineering,2,N,3,N,N/A: Open to New York City residents,55,60,55,55,1.8,1.6,,Yes
,Transit Tech Career and Technical Education High School,19K615,BK,K69N - Computer Networking,Screened,9/10,Computer Science & Technology,2,N,3,N,N/A: Open to New York City residents,55,55,55,55,1.8,1.7,,Yes
,Transit Tech Career and Technical Education High School,19K615,BK,K69P - Computer Engineering,Ed. Opt.,9/10,Computer Science & Technology,4,N,6,Y,N/A: Open to New York City residents,,,,,,,,
,Transit Tech Career and Technical Education High School,19K615,BK,K69R - Information Technology,Limited Unscreened,9/10,Computer Science & Technology,2,N,4,N,48% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,George Westinghouse Career and Technical Education High School,13K605,BK,K70C - Multimedia Internet Technology,Screened,9/10,Visual Art & Design,7,N,10,Y,N/A: Open to New York City residents,60,65,65,65,1.8,1.8,,Yes
,George Westinghouse Career and Technical Education High School,13K605,BK,K70D - Culinary Arts,Ed. Opt.,9,Culinary Arts,7,Y,12,Y,N/A: Open to New York City residents,,,,,,,,
,George Westinghouse Career and Technical Education High School,13K605,BK,K70E - Electrical Installation and Practice,Screened,9/10,Engineering,4,N,4,Y,N/A: Open to New York City residents,55,55,59,60,1.8,1.5,,Yes
,George Westinghouse Career and Technical Education High School,13K605,BK,K70H - Brooklyn STEAM Center,Screened,9,Engineering,11,N,9,Y,N/A: Open to New York City residents,70,65,68,68,2.1,2.0,,Yes
,George Westinghouse Career and Technical Education High School,13K605,BK,K70I - Computer Information Systems and Repair,Screened,9/10,Computer Science & Technology,7,Y,8,Y,N/A: Open to New York City residents,65,65,65,65,1.8,1.8,,Yes
,Benjamin Banneker Academy,13K670,BK,K71B - Humanities,Screened,9/10,Humanities & Interdisciplinary,15,Y,10,Y,"40% of offers went to Districts 13, 14, 15 and 16 students or residents",73,70,73,72,2.1,1.9,,Yes
,Benjamin Banneker Academy,13K670,BK,K71E - Media Communication,Screened,9/10,Communications,11,Y,7,Y,"56% of offers went to Districts 13, 14, 15 and 16 students or residents",70,70,70,70,1.9,1.9,,Yes
,Benjamin Banneker Academy,13K670,BK,K71J - Pre-Engineering,Screened,9/10,Engineering,14,Y,7,Y,"53% of offers went to Districts 13, 14, 15 and 16 students or residents",72,75,N/A,N/A,1.9,2.4,,Yes
,Benjamin Banneker Academy,13K670,BK,K71K - Pre-Medicine,Screened,9/10,Health Professions,16,Y,6,N,"95% of offers went to Districts 13, 14, 15 and 16 students or residents",68,68,66,70,1.9,1.9,,Yes
,EBC High School for Public Service - Bushwick,32K545,BK,K73A - Public Service,Ed. Opt.,9/10,Humanities & Interdisciplinary,4,N,5,Y,68% of offers went to District 32 students or residents,,,,,,,,
,El Puente Academy for Peace and Justice,14K685,BK,K75A - El Puente Academy for Peace and Justice,Ed. Opt.,9,Humanities & Interdisciplinary,7,Y,8,Y,96% of offers went to Brooklyn students or residents,,,,,,,Yes,Yes
,Leon M. Goldstein High School for the Sciences,22K535,BK,K76A - Leon M. Goldstein High School for the Sciences,Screened,9/10,Science & Math,22,Y,6,Y,N/A: Open to New York City residents,N/A,87,N/A,89,2.9,3.8,,Yes
,Medgar Evers College Preparatory School,17K590,BK,K77A - Math and Technology,Screened,9/10,Computer Science & Technology,21,Y,9,Y,46% of offers went to continuing 8th graders,75,75,70,74,2.0,2.3,,Yes
,Medgar Evers College Preparatory School,17K590,BK,K77B - Science and Research,Screened,9/10,Science & Math,12,Y,4,N,14% of offers went to continuing 8th graders,70,75,70,73,2.0,2.5,,Yes
,"Science Skills Center High School for Science, Technology and the Creative Arts",13K419,BK,K78A - Science Skills Center,Ed. Opt.,9/10,Science & Math,6,N,5,N,N/A: Open to New York City residents,,,,,,,,
,"Science Skills Center High School for Science, Technology and the Creative Arts",13K419,BK,K78B - Gateway Honors,Screened,9,Science & Math,1,N,1,N,N/A: Open to New York City residents,69,65,63,73,2.0,1.9,,Yes
,"Science Skills Center High School for Science, Technology and the Creative Arts",13K419,BK,K78C - Project Lead the Way,Screened,9/10,Engineering,3,N,3,N,N/A: Open to New York City residents,60,65,56,55,1.8,1.5,,Yes
,"Science Skills Center High School for Science, Technology and the Creative Arts",13K419,BK,K78D - Humanities and the Arts,Screened,9/10,Humanities & Interdisciplinary,2,N,1,N,N/A: Open to New York City residents,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
,"Science Skills Center High School for Science, Technology and the Creative Arts",13K419,BK,K78F - Early College Pharmacology,Ed. Opt.,9,Health Professions,3,N,3,N,N/A: Open to New York City residents,,,,,,,,
,"Science Skills Center High School for Science, Technology and the Creative Arts",13K419,BK,K78G - Computer Technology,Screened,9,Computer Science & Technology,8,Y,9,Y,N/A: Open to New York City residents,58,55,60,64,1.8,1.8,,Yes
,Digital Arts and Cinema Technology High School (Brooklyn School for Global Studies),15K429,BK,K79A - Digital Cinema Production and Digital Arts,Screened,9/10,Film/Video,2,N,3,N,36% of offers went to continuing 8th graders,65,55,60,55,1.8,1.6,,Yes
,Frederick Douglass Academy VII High School,23K514,BK,K80X - Frederick Douglass Academy VII High School,Limited Unscreened,9/10,Humanities & Interdisciplinary,2,N,3,N,96% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,Brooklyn College Academy,22K555,BK,K84X - Brooklyn College Academy,Screened,9/10,Humanities & Interdisciplinary,18,Y,6,N,100% of offers went to Brooklyn students or residents,77,75,75,77,2.0,2.0,,Yes
,ACORN Community High School,13K499,BK,K85A - Law and Leadership Institute,Ed. Opt.,9/10,Law & Government,2,N,2,N,100% of offers went to Brooklyn students or residents,,,,,,,,
,ACORN Community High School,13K499,BK,K85D - Science and Health Institute,Ed. Opt.,9/10,Health Professions,2,N,2,N,86% of offers went to Brooklyn students or residents,,,,,,,,
,School for Legal Studies,14K477,BK,K86A - Legal Studies,Ed. Opt.,9/10,Law & Government,2,N,1,N,N/A: Open to New York City residents,,,,,,,,
,School for Legal Studies,14K477,BK,K86B - Computer Forensics Program,Ed. Opt.,9/10,Law & Government,2,N,3,N,N/A: Open to New York City residents,,,,,,,,
,PROGRESS High School for Professional Careers,14K474,BK,K87A - Medical Professions,Ed. Opt.,9/10,Health Professions,4,N,3,N,85% of offers went to Brooklyn students or residents,,,,,,,Yes,
,PROGRESS High School for Professional Careers,14K474,BK,K87G - Gateway: Mathematics and Science Institute,Ed. Opt.,9,Science & Math,3,N,2,N,88% of offers went to Brooklyn students or residents,,,,,,,Yes,
,PROGRESS High School for Professional Careers,14K474,BK,K87H - Instrumental Music,Limited Unscreened,9/10,Performing Arts,3,N,4,N,40% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,PROGRESS High School for Professional Careers,14K474,BK,K87I - Fine Art,Limited Unscreened,9/10,Visual Art & Design,4,N,4,N,42% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,"The High School for Enterprise, Business and Technology",14K478,BK,K88A - Computer Science/Networking,Ed. Opt.,9/10,Computer Science & Technology,11,Y,11,Y,N/A: Open to New York City residents,,,,,,,Yes,
,"The High School for Enterprise, Business and Technology",14K478,BK,K88B - Business & Finance,Ed. Opt.,9/10,Business,7,Y,6,Y,N/A: Open to New York City residents,,,,,,,Yes,
,"The High School for Enterprise, Business and Technology",14K478,BK,K88C - Gateway: Mathematics and Science Institute for Pre-College Education,Screened,9/10,Science & Math,3,N,2,N,N/A: Open to New York City residents,69,65,69,65,1.9,1.9,Yes,Yes
,"The High School for Enterprise, Business and Technology",14K478,BK,K88D - Music Major,Limited Unscreened,9,Performing Arts,4,N,8,Y,43% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Brooklyn Studio Secondary School,21K690,BK,K90H - Instrumental Music for New Students,Ed. Opt.,9,Performing Arts,9,Y,11,Y,91% of offers went to District 21 students or residents,,,,,,,,
,Brooklyn Studio Secondary School,21K690,BK,K90J - Digital Communications and Media for New Students,Ed. Opt.,9,Humanities & Interdisciplinary,15,Y,19,Y,81% of offers went to District 21 students or residents,,,,,,,,
,Brooklyn Studio Secondary School,21K690,BK,K90K - Brooklyn Studio Secondary School for Current Students,For Continuing 8th Graders,9,Humanities & Interdisciplinary,N/A,N/A,N/A,N/A,100% of offers went to continuing 8th graders,,,,,,,,
,Cobble Hill School of American Studies,15K519,BK,K91A - American Studies,Ed. Opt.,9/10,Humanities & Interdisciplinary,4,N,4,N,93% of offers went to Brooklyn students or residents,,,,,,,,
,Cobble Hill School of American Studies,15K519,BK,K91B - Pre-Law Institute,Ed. Opt.,9/10,Law & Government,5,N,3,N,90% of offers went to Brooklyn students or residents,,,,,,,,
,Brooklyn Collegiate: A College Board School,23K493,BK,K93X - Brooklyn Collegiate: A College Board School,Limited Unscreened,9/10,Humanities & Interdisciplinary,3,N,5,N,91% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,Bedford Academy High School,13K595,BK,K95A - Technology,Screened,9,Computer Science & Technology,54,Y,30,N,96% of offers went to District 13 students or residents,71,71,71,74,2.3,2.2,,Yes
,Bedford Academy High School,13K595,BK,K95B - Health Professions,Screened,9,Health Professions,30,Y,9,Y,26% of offers went to District 13 students or residents,73,70,75,74,2.5,2.2,,Yes
,High School of Sports Management,21K348,BK,K97R - High School of Sports Management,Limited Unscreened,9/10,Humanities & Interdisciplinary,5,N,5,N,83% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,International High School at Prospect Heights,17K524,BK,K98X - International High School at Prospect Heights,Screened: Language,9/10,Humanities & Interdisciplinary,2,N,1,N,100% of offers went Students eligible for these programs are English Language Learners,,,,,,,,
,Rachel Carson High School for Coastal Studies,21K344,BK,L01R - Rachel Carson High School for Coastal Studies,Limited Unscreened,9/10,Environmental Science,4,N,6,Y,98% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,Urban Assembly High School of Music and Art,13K350,BK,L02R - The Urban Assembly School of Music and Art,Limited Unscreened,9/10,Performing Arts/Visual Art & Design,4,N,5,N,64% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,Brooklyn Institute for Liberal Arts (BILA),17K745,BK,L17A - Brooklyn Institute for Liberal Arts,Limited Unscreened,9,Humanities & Interdisciplinary,3,N,4,N,70% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,Academy for College Preparation and Career Exploration: A College Board School,17K382,BK,L21A - Academy for College Preparation and Career Exploration,Limited Unscreened,9,Humanities & Interdisciplinary,3,N,3,N,27% of offers went to continuing 8th graders,,,,,,,Yes,
,Academy for Young Writers,19K404,BK,L22A - Academy for Young Writers,Limited Unscreened,9,Humanities & Interdisciplinary,9,Y,8,Y,77% of offers went to continuing 8th graders,,,,,,,Yes,
,Academy for Environmental Leadership,32K403,BK,L23A - Academy for Environmental Leadership,Limited Unscreened,9,Environmental Science,2,N,3,N,98% of offers went to New York residents who attend an information session,,,,,,,Yes,
,Academy of Hospitality and Tourism,17K408,BK,L24A - Academy of Hospitality and Tourism,Ed. Opt.,9/10,"Hospitality, Travel and Tourism",2,N,3,N,N/A: Open to New York City residents,,,,,,,,
,"Brooklyn Community High School of Communication, Arts and Media (BCAM)",13K412,BK,"L25A - Brooklyn Community High School of Communications, Arts and Media",Ed. Opt.,9/10,Performing Arts/Visual Art & Design,5,N,6,Y,N/A: Open to New York City residents,,,,,,,,
,Green School: An Academy for Environmental Careers,14K454,BK,L27A - Green School: An Academy for Environmental Careers,Limited Unscreened,9/10,Humanities & Interdisciplinary,2,N,4,N,96% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Green School: An Academy for Environmental Careers,14K454,BK,L27B - Early College Initiative,Screened,9/10,Humanities & Interdisciplinary,2,N,3,N,N/A: Open to New York City residents,55,65,55,65,1.9,1.8,,Yes
,Green School: An Academy for Environmental Careers,14K454,BK,L27C - Transitional Bilingual,Screened: Language,9,Humanities & Interdisciplinary,3,N,1,N,N/A: Open to New York City residents,,,,,,,,
,Arts & Media Preparatory Academy,18K589,BK,L31A - Arts & Media Preparatory,Limited Unscreened,9,Humanities & Interdisciplinary,3,N,5,N,No offers went to New York City residents who attend an information session,,,,,,,Yes,
,Brooklyn Generation School,18K566,BK,L32A - Brooklyn Generation School,Limited Unscreened,9/10,Humanities & Interdisciplinary,3,N,5,N,88% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Brooklyn Theatre Arts High School,18K567,BK,L33A - Brooklyn Theatre Arts High School,Limited Unscreened,9/10,Performing Arts,5,N,6,Y,100% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Expeditionary Learning School for Community Leaders,21K572,BK,L34A - Expeditionary Learning School for Community Learners,Limited Unscreened,9,Humanities & Interdisciplinary,5,N,7,Y,100% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Gotham Professional Arts Academy,16K594,BK,L35A - Gotham Professional Arts Academy,Limited Unscreened,9/10,Visual Art & Design,4,N,7,N,11% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,It Takes a Village Academy,18K563,BK,L36A - It Takes A Village Academy,Limited Unscreened,9/10,Science & Math,7,Y,6,N,71% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,It Takes a Village Academy,18K563,BK,L36B - Engineering Academy,Ed. Opt.,9/10,Computer Science & Technology,25,Y,29,Y,N/A: Open to New York City residents,,,,,,,,
,It Takes a Village Academy,18K563,BK,L36C - Science Institute,Ed. Opt.,9/10,Health Professions,18,Y,16,Y,N/A: Open to New York City residents,,,,,,,,
,Kurt Hahn Expeditionary Learning School,18K569,BK,L37A - Kurt Hahn Expeditionary Learning School,Limited Unscreened,9/10,Humanities & Interdisciplinary,5,N,6,Y,69% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Life Academy High School for Film and Music,21K559,BK,L38A - Life Academy High School for Film and Music,Limited Unscreened,9/10,Visual Art & Design,6,Y,8,Y,81% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Lyons Community School,14K586,BK,L39A - Lyons Community School,Limited Unscreened,9/10,Humanities & Interdisciplinary,4,N,6,Y,54% of offers went to continuing 8th graders,,,,,,,Yes,
,Multicultural High School,19K583,BK,L40A - Multicultural High School,Screened: Language,9/10,Humanities & Interdisciplinary,1,N,1,N,"100% of offers went to New York City residents who have lived in the United States three years or fewer, whose home language is Spanish and are of limited English proficiency",,,,,,,,
,Victory Collegiate High School,18K576,BK,L41A - Victory Collegiate High School,Limited Unscreened,9/10,Humanities & Interdisciplinary,4,N,6,N,93% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Academy for Conservation and the Environment,18K637,BK,L44A - Academy for Conservation and the Environment,Limited Unscreened,9/10,Environmental Science,2,N,5,N,74% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Cultural Academy for the Arts and Sciences,18K629,BK,L45A - Culinary Arts,Limited Unscreened,9,Culinary Arts,5,N,6,N,90% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,Cultural Academy for the Arts and Sciences,18K629,BK,L45B - Cultural Academy College Prep,Limited Unscreened,9,Humanities & Interdisciplinary,2,N,2,N,100% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,Brooklyn Lab School,19K639,BK,L46A - Brooklyn Lab School,Limited Unscreened,9/10,Humanities & Interdisciplinary,2,N,2,N,100% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Greenpoint Art and Technical High School (Frances Perkins Academy),14K632,BK,L47A - Academy of Software Engineering,Limited Unscreened,9/10,Computer Science & Technology,1,N,2,N,100% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Greenpoint Art and Technical High School (Frances Perkins Academy),14K632,BK,L47B - Academy of Arts and Media,Limited Unscreened,9/10,Performing Arts/Visual Art & Design,4,N,4,N,100% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,High School for Innovation in Advertising and Media,18K617,BK,L48A - High School for Innovation in Advertising and Media,Limited Unscreened,9,Business,4,N,6,N,70% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,High School for Medical Professions,18K633,BK,L49A - High School for Medical Professions,Limited Unscreened,9/10,Health Professions,12,Y,8,Y,96% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Urban Action Academy,18K642,BK,L50A - Urban Action Academy,Limited Unscreened,9,Law & Government,2,N,3,N,56% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Academy of Innovative Technology,19K618,BK,L51A - Academy of Innovative Technology,Limited Unscreened,9,Computer Science & Technology,5,Y,6,Y,86% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,"The School for Classics: An Academy of Thinkers, Writers and Performers",19K683,BK,L53A - Performance,Limited Unscreened,9/10,Performing Arts,5,N,6,Y,15% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,"The School for Classics: An Academy of Thinkers, Writers and Performers",19K683,BK,L53B - Production,Limited Unscreened,9/10,Performing Arts,2,N,3,N,11% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Urban Assembly Institute of Math and Science for Young Women,13K527,BK,L54A - The Urban Assembly Institute of Math and Science for Young Women,Limited Unscreened,9/10,Science & Math,6,Y,3,N,30% of offers went to continuing 8th graders,,,,,,,Yes,
,Kingsborough Early College School,21K468,BK,L55A - Kingsborough Early College,Screened,9,Humanities & Interdisciplinary,19,Y,8,Y,48% of offers went to continuing 8th graders,75,74,71,70,2.0,2.2,,Yes
,Cypress Hills Collegiate Preparatory School,19K659,BK,L56A - Cypress Hills Collegiate Preparatory School,Limited Unscreened,9,Humanities & Interdisciplinary,2,N,2,N,81% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,The Brooklyn Academy of Global Finance,16K688,BK,L57A - Brooklyn Academy of Global Finance,Limited Unscreened,9,Business,1,N,1,N,90% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Sunset Park High School,15K667,BK,L58A - Sunset Park High School,Limited Unscreened,9,Humanities & Interdisciplinary,3,N,4,Y,75% of offers went to Districts 15 and 20 students or residents who attend an information session,,,,,,,Yes,
,"City Polytechnic High School of Engineering, Architecture, and Technology",13K674,BK,"L59A - City Polytechnic High School of Engineering, Architecture and Technology",Limited Unscreened,9,Engineering,15,Y,14,Y,95% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Khalil Gibran International Academy,15K592,BK,L61A - Khalil Gibran International Academy,Limited Unscreened,9/10,Humanities & Interdisciplinary,2,N,2,N,45% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,Urban Assembly School for Criminal Justice,20K609,BK,L62A - The Urban Assembly School for Criminal Justice,Limited Unscreened,9/10,Humanities & Interdisciplinary,5,Y,4,Y,34% of offers went to continuing 8th graders,,,,,,,Yes,
,Millennium Brooklyn HS,15K684,BK,L63A - Millennium Brooklyn,Screened,9/10,Humanities & Interdisciplinary,15,Y,7,N,100% of offers went to Brooklyn students or residents,82,83,85,84,2.7,2.9,,Yes
,Academy for Health Careers,17K751,BK,L64A - Academy for Health Careers,Limited Unscreened,9/10,Health Professions,6,N,5,N,56% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,Eagle Academy for Young Men II,23K644,BK,L65A - Eagle Academy for Young Men II,Limited Unscreened,9,Humanities & Interdisciplinary,4,Y,7,Y,84% of offers went to continuing 8th graders,,,,,,,Yes,
,Young Women's Leadership School of Brooklyn (TYWLS),14K614,BK,L66A - The Young Women’s Leadership School of Brooklyn,Screened,9,Science & Math,3,N,4,N,40% of offers went to continuing 8th graders,55,55,60,60,1.6,1.7,,Yes
,Pathways in Technology Early College High School (P-TECH),17K122,BK,L67A - Pathways in Technology Early College High School,Limited Unscreened,9,Computer Science & Technology,12,Y,11,Y,95% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,The Brooklyn School for Math and Research (BSMARt),32K168,BK,"L68A - Mathematics, Science & Humanities",Limited Unscreened,9/10,Science & Math,4,N,3,N,80% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,Brooklyn Frontiers High School,15K423,BK,L69A - Brooklyn Frontiers High School,Limited Unscreened,9,Humanities & Interdisciplinary,4,N/A,2,N/A,100% of offers went to 15-16-year-old New York City residents entering high school for the first time,,,,,,,Yes,
,Crotona Academy High School,12X321,BX,L70A - Crotona Academy High School,Limited Unscreened,9/10,Humanities & Interdisciplinary,N/A,N/A,N/A,N/A,N/A: New Program,,,,,,,Yes,
