Bookmarked Schools,Program Information,,,,,,,Program Demand,,,,Program Priorities,Selection Criteria (previous year's minimum grades),,,,,,Demonstrated Interest Used?,Additional Requirements?
,School Name,School DBN,Borough,Program Code and Name,Admissions Method,Grade Level,Interest Area,GE Applicants Per Seat,GE Filled?,SWD Applicants Per Seat,SWD Filled?,Percent of Offers to Students in the First Priority Group,English Course Grade,Math Course Grade,Social Studies Course Grade,Science Course Grade,English Standardized Test Score,Math Standardized Test Score,,
,Brooklyn Preparatory High School,14K488,BK,K07X - Brooklyn Preparatory High School,Limited Unscreened,9/10,Humanities & Interdisciplinary,10,Y,7,Y,55% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,The Urban Assembly School for Law and Justice,13K483,BK,K08X - Urban Assembly School for Law and Justice,Limited Unscreened,9/10,Law & Government,16,Y,9,Y,94% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Williamsburg High School for Architecture and Design,14K558,BK,K09X - Architecture and Design,Limited Unscreened,9,Architecture,9,Y,8,Y,53% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,Boys and Girls High School,16K455,BK,K10A - Brooklyn STEAM Center,Screened,9,Engineering,9,N,16,Y,100% of offers went to Brooklyn students or residents,55,55,55,55,1.7,1.5,,Yes
,Boys and Girls High School,16K455,BK,K10E - Smart Scholars Early College Program,Screened,9,Science & Math,3,N,3,N,100% of offers went to Brooklyn students or residents,55,55,55,55,1.8,1.6,,Yes
,Boys and Girls High School,16K455,BK,K10S - Institute for Computer and Technology,Screened,9/10,Computer Science & Technology,1,N,2,N,100% of offers went to Brooklyn students or residents,55,55,55,55,1.7,1.5,,Yes
,Boys and Girls High School,16K455,BK,K10Z - Zoned,Zoned Guarantee,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to students who apply and live in the zoned area,,,,,,,,
,Juan Morel Campos Secondary School,14K071,BK,K11A - Visual Art and Design,Audition*: pre-registration,9,Visual Art & Design,2,N,4,Y,83% of offers went to continuing 8th graders,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
,Juan Morel Campos Secondary School,14K071,BK,K11B - Instrumental Music,Audition*: pre-registration,9,Performing Arts,2,N,1,N,80% of offers went to continuing 8th graders,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
,Juan Morel Campos Secondary School,14K071,BK,K11E - Theater Arts,Audition*: pre-registration,9,Performing Arts,1,N,1,N,75% of offers went to continuing 8th graders,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
,Juan Morel Campos Secondary School,14K071,BK,K11X - Juan Morel Campos Secondary School,Limited Unscreened,9/10,Humanities & Interdisciplinary,1,N,3,N,73% of offers went to continuing 8th graders,,,,,,,Yes,
,"Science, Technology and Research Early College High School at Erasmus (STAR)",17K543,BK,K14A - Early College,Screened,9/10,Science & Math,12,Y,5,N,30% of offers went to continuing 8th graders,73,71,71,75,2.3,2.5,,Yes
,Nelson Mandela High School,16K765,BK,K15A - Nelson Mandela School for Social Justice,Limited Unscreened,9,Humanities & Interdisciplinary,3,N,4,N,100% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Franklin Delano Roosevelt High School,20K505,BK,K16A - STEAM -Robotics/Programming,Ed. Opt.,9/10,Computer Science & Technology,7,Y,8,Y,100% of offers went to Brooklyn students or residents,,,,,,,,
,Franklin Delano Roosevelt High School,20K505,BK,K16C - STEAM—Environmental Studies,Ed. Opt.,9/10,Environmental Science,14,Y,12,Y,100% of offers went to Brooklyn students or residents,,,,,,,,
,Franklin Delano Roosevelt High School,20K505,BK,K16D - Performing Arts,Ed. Opt.,9,Performing Arts,5,Y,7,Y,4% of offers went to students who live in the zoned area,,,,,,,,
,Franklin Delano Roosevelt High School,20K505,BK,K16E - STEAM—Multimedia Design,Ed. Opt.,9,Visual Art & Design,N/A,N/A,N/A,N/A,N/A: New Program,,,,,,,,
,Franklin Delano Roosevelt High School,20K505,BK,K16F - STEAM—Science Research,Ed. Opt.,9,Science & Math,N/A,N/A,N/A,N/A,N/A: New Program,,,,,,,,
,Franklin Delano Roosevelt High School,20K505,BK,K16Z - Zoned,Zoned Guarantee,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to students who apply and live in the zoned area,,,,,,,,
,Fort Hamilton High School,20K490,BK,K17H - Honors Academy,Screened,9/10,Humanities & Interdisciplinary,28,N,7,N,99% of offers went to Brooklyn students or residents,84,82,85,85,2.9,3.1,,
,Fort Hamilton High School,20K490,BK,K17J - Joffrey Ballet Dance Academy,Audition: pre-registration,9,Performing Arts,8,Y,4,N,100% of offers went to Brooklyn students or residents,,,,,,,,Yes
,Fort Hamilton High School,20K490,BK,K17R - Instrumental Music,Audition: pre-registration,9/10,Performing Arts,7,N,3,N,100% of offers went to Brooklyn students or residents,,,,,,,,Yes
,Fort Hamilton High School,20K490,BK,K17S - Vocal Music,Audition: pre-registration,9/10,Performing Arts,5,N,5,Y,97% of offers went to Brooklyn students or residents,,,,,,,,Yes
,Fort Hamilton High School,20K490,BK,K17T - Dramatic Arts Academy,Audition*: pre-registration,9/10,Performing Arts,N/A,N/A,N/A,N/A,N/A: New Program,,,,,,,,Yes
,Fort Hamilton High School,20K490,BK,K17Z - Zoned,Zoned Guarantee,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to students who apply and live in the zoned area,,,,,,,,
,The Urban Assembly School for Collaborative Healthcare,19K764,BK,K19A - The Urban Assembly School for Collaborative Healthcare,Limited Unscreened,9/10,Health Professions,3,N,2,N,16% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Teachers Preparatory High School,23K697,BK,K20A - Teachers Preparatory High School for New Students,Ed. Opt.,9/10,Performing Arts/Visual Art & Design,1,N,2,N,96% of offers went to Brooklyn students or residents,,,,,,,,Yes
,Teachers Preparatory High School,23K697,BK,K20B - Teachers Preparatory High School for Current Students,For Continuing 8th Graders,9,Performing Arts/ Visual Art & Design,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to continuing 8th grade students who apply,,,,,,,,
,School for International Studies,15K497,BK,K21A - International Baccalaureate,Screened,9/10,Humanities & Interdisciplinary,4,N,5,Y,35% of offers went to continuing 8th graders,60,60,63,65,1.4,1.7,Yes,Yes
,School for International Studies,15K497,BK,"K21B - College, Career & Culinary",Screened,9,Culinary Arts,5,N,5,N,12% of offers went to continuing 8th graders,55,55,55,55,1.7,1.7,,Yes
,John Jay School for Law (Secondary School for Law),15K462,BK,K22A - John Jay School for Law,Ed. Opt.,9/10,Law & Government,7,Y,5,N,11% of offers went to District 15 students or residents,,,,,,,,
,Abraham Lincoln High School,21K410,BK,K24A - Veterinary Sciences And Animal Care,Ed. Opt.,9/10,Animal Science,8,Y,9,Y,100% of offers went to Brooklyn students or residents,,,,,,,,
,Abraham Lincoln High School,21K410,BK,K24B - Virtual Enterprise,Ed. Opt.,9,Business,12,Y,12,Y,100% of offers went to Brooklyn students or residents,,,,,,,Yes,
,Abraham Lincoln High School,21K410,BK,K24J - Institute for Professions in Science,Screened,9/10,Science & Math,3,N,2,N,100% of offers went to Brooklyn students or residents,55,55,55,55,1.8,1.7,,Yes
,Abraham Lincoln High School,21K410,BK,K24L - Professional Photography,Audition: pre-registration,9/10,Visual Art & Design,6,Y,6,N,100% of offers went to Brooklyn students or residents,60,55,55,55,1.7,1.7,Yes,Yes
,Abraham Lincoln High School,21K410,BK,K24M - Honors Institute for American Studies – Gilder Lehrman,Screened,9/10,Humanities & Interdisciplinary,4,N,2,N,100% of offers went to Brooklyn students or residents,65,65,65,70,1.8,1.7,Yes,Yes
,Abraham Lincoln High School,21K410,BK,K24Z - Zoned,Zoned Guarantee,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to students who apply and live in the zoned area,,,,,,,,
,James Madison High School,22K425,BK,K25B - Information Technology,Screened,9/10,Computer Science & Technology,34,Y,20,Y,100% of offers went to Brooklyn students or residents,82,84,85,80,2.2,2.6,,Yes
,James Madison High School,22K425,BK,K25D - Law Institute,Screened,9/10,Law & Government,14,Y,5,N,100% of offers went to Brooklyn students or residents,83,80,82,80,2.1,2.3,,Yes
,James Madison High School,22K425,BK,K25Z - Zoned,Zoned Guarantee,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to students who apply and live in the zoned area,,,,,,,,
,Midwood High School,22K405,BK,K26H - Liberal Arts and Science Institute,Unscreened,9,Humanities & Interdisciplinary,1,N,1,N,100% of offers went to students who reside in the geographical catchment area,,,,,,,,
,Midwood High School,22K405,BK,K26J - Humanities Institute,Screened,9/10,Humanities & Interdisciplinary,23,Y,9,Y,N/A: Open to New York City residents,86,85,85,85,3.0,3.0,,
,Midwood High School,22K405,BK,K26K - Medical Science Institute,Screened,9/10,Science & Math,15,Y,3,N,N/A: Open to New York City residents,88,90,88,88,3.0,3.5,,
,Midwood High School,22K405,BK,K26L - Bilingual Haitian Creole Institute,Screened: Language & Academics,9,Science & Math,8,Y,2,N,100% of offers went to students whose home language is Haitian Creole,75,70,75,75,1.8,1.9,,
,Park Slope Collegiate,15K464,BK,K27A - College Preparatory for New Students,Ed. Opt.,9,Humanities & Interdisciplinary,5,N,6,Y,10% of offers went to continuing 8th graders,,,,,,,,
,Park Slope Collegiate,15K464,BK,K27B - College Preparatory for Current Students,For Continuing 8th Graders,9,Humanities & Interdisciplinary,N/A,N/A,N/A,N/A,N/A: New Program,,,,,,,,
,New Utrecht High School,20K445,BK,K28A - Medical & Health Careers,Ed. Opt.,9,Health Professions,10,Y,9,Y,N/A: Open to New York City residents,,,,,,,,
,New Utrecht High School,20K445,BK,K28B - Legal Studies Academy,Limited Unscreened,9,Law & Government,21,Y,16,Y,100% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,New Utrecht High School,20K445,BK,K28C - Academy of Hospitality & Tourism,Limited Unscreened,9,"Hospitality, Travel and Tourism",14,Y,15,Y,100% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,New Utrecht High School,20K445,BK,K28D - Academy of Art & Design,Limited Unscreened,9,Visual Art & Design,21,Y,23,Y,100% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,New Utrecht High School,20K445,BK,K28H - Honors Academy,Screened,9,Humanities & Interdisciplinary,37,Y,6,N,N/A: Open to New York City residents,80,80,81,85,2.5,3.1,,Yes
,New Utrecht High School,20K445,BK,K28M - Academy of Business and Technology,Limited Unscreened,9,Business,23,Y,21,Y,100% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,New Utrecht High School,20K445,BK,K28Z - Zoned,Zoned Guarantee,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to students who apply and live in the zoned area,,,,,,,,
,Secondary School for Journalism,15K463,BK,K29A - Secondary School for Journalism,Ed. Opt.,9/10,Communications,2,N,2,N,23% of offers went to District 15 students or residents,,,,,,,Yes,
,High School for Service & Learning at Erasmus,17K539,BK,K30X - High School for Service & Learning,Limited Unscreened,9/10,Humanities & Interdisciplinary,2,N,2,N,91% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,Spring Creek Community School,19K422,BK,K31A - Spring Creek Community School for New Students,Ed. Opt.,9,Humanities & Interdisciplinary,7,Y,9,Y,29% of offers went to continuing 8th graders,,,,,,,,
,Spring Creek Community School,19K422,BK,K31B - Spring Creek Community School for Current Students,For Continuing 8th Graders,9,Humanities & Interdisciplinary,N/A,N/A,N/A,N/A,N/A: New Program,,,,,,,,
,The High School for Global Citizenship,17K528,BK,K32A - Engineering,Limited Unscreened,9/10,Science & Math,4,N,7,Y,Program did not indicate attendance at information sessions for any students in this group,,,,,,,Yes,
,The High School for Global Citizenship,17K528,BK,K32B - Biomedical Science,Limited Unscreened,9/10,Health Professions,5,N,2,N,Program did not indicate attendance at information sessions for any students in this group,,,,,,,Yes,
,The High School for Global Citizenship,17K528,BK,K32C - Computer Science,Limited Unscreened,9/10,Computer Science & Technology,6,N,8,N,Program did not indicate attendance at information sessions for any students in this group,,,,,,,Yes,
,The High School for Global Citizenship,17K528,BK,K32D - Brooklyn STEAM Center,Screened,9,Engineering,2,N,2,N,N/A: Open to New York City residents,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
,Frederick Douglass Academy IV Secondary School,16K393,BK,K33R - Frederick Douglass Academy IV Secondary School,Limited Unscreened,9,Humanities & Interdisciplinary,2,N,3,N,93% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,Bushwick Leaders High School for Academic Excellence,32K556,BK,K36A - Bushwick Leaders High School for Academic Excellence,Limited Unscreened,9,Humanities & Interdisciplinary,4,N,6,N,61% of offers went to Districts 19 and 32 students or residents who attend an information session,,,,,,,Yes,
