Bookmarked Schools,School Name,School DBN,CTE School?,Career Clusters,,,,,,,,,,,,,,,
,,,,"Agriculture, Food and Natural Resources",Architecture and Construction,"Arts, A/V Technology & Communication","Business, Management & Administration",Education and Training,Government and Public Administration,Health Science,Hospitality and Tourism,Human Services,Information Technology,Law and Public Safety,Manufacturing Production,"Marketing, Sales & Service",Recording Arts Technology/Technician,Scientific Research and Engineering,"Transportation, Distribution & Logistics"
,Bronxdale High School,11X508,,,,,,,,,Culinary Arts,,,,,,,,
,"Science Skills Center High School for Science, Technology and the Creative Arts",13K419,,,,,,,,,,,,,Pre-Engineering/Project Lead the Way,,,,
,Brooklyn Technical High School,13K430,,,,Media,Entrepreneurship/Entrepreneurial Studies,,,,,,,Criminal Justice/Law Academy,"Civil Engineering, Architecture and General Technology; Computer Integrated Manufacturing",,,,
,George Westinghouse Career and Technical Education High School,13K605,Yes,,Electrician,,,,,,Culinary Arts,,Computer Support Services; Web Design,,,,,,
,"City Polytechnic High School of Engineering, Architecture, and Technology",13K674,Yes,,,,,,,,,,,,,,,Pre-Engineering,
,School for Legal Studies,14K477,,,,,,,,,,,,Law Enforcement Academy,,,,,
,"The High School for Enterprise, Business and Technology",14K478,,,,,,,,,Academy of Hospitality and Tourism,,CISCO Networking Academy,,,,,,
,Williamsburg High School for Architecture and Design,14K558,Yes,,,,,,,,,,,,Architectural Drafting and Architectural CAD/CADD/Preservation Arts,,,,
,Automotive High School,14K610,Yes,,,,,,,,,,,,,,,,Automotive Service Technician
,School for International Studies,15K497,,,,,,,,,Culinary Arts,,,,,,,,
,Cobble Hill School of American Studies,15K519,,,,,,,,,,,,Law Academy/Legal Studies,,,,,
,Boys and Girls High School,16K455,,,,,,,,,,,,Law Academy/Legal Studies,,,,,
,Brooklyn High School for Law and Technology,16K498,,,,,,,,,,,,Law Academy/Legal Studies,,,,,
,The Brooklyn Academy of Global Finance,16K688,,,,,Academy of Global Commerce,,,,,,,,,,,,
,Pathways in Technology Early College High School (P-TECH),17K122,Yes,,,,,,,,,,,,,,,Computer Systems Technology; Electromechanical Techology,
,Academy of Hospitality and Tourism,17K408,,,,,,,,,Academy of Hospitality and Tourism,,,,,,,,
,"Science, Technology and Research Early College High School at Erasmus (STAR)",17K543,,,,,,,,,,,,,,,,Electrical Engineering,
,Brooklyn School for Music & Theatre,17K548,,,,Technical Theatre,,,,,,,,,,,,,
,Clara Barton High School,17K600,Yes,,,,,,,Dental Assistant; Dental Laboratory Technician; Medical Assistant/Billing and Coding; Nursing Assistant; Practical Nursing; Vision Technology,,,,,,,,Bio-Med Technology/Medical Lab Assistant,
,Academy for Health Careers,17K751,Yes,,,,,,,Nurse Assisting,,,,,,,,,
,Brooklyn Theatre Arts High School,18K567,,,,Drama; Technical Theatre,,,,,,,,,,,,,
,High School for Innovation in Advertising and Media,18K617,Yes,,,,,,,,,,Advertising and Media Design,,,,,,
,Urban Action Academy,18K642,,,,,,,,,,,,Law Academy/Legal Studies,,,,,
,FDNY Ð Captain Vernon A. Richards High School for Fire and Life Safety,19K502,,,,,,,,FDNY/EMT Certification,,,,,,,,,
,World Academy for Total Community Health High School (WATCH),19K510,,,,,,,,Nursing Assistant,,,,,,,,,
,Transit Tech Career and Technical Education High School,19K615,Yes,,,,,,,,,,A+ Computer Repair; Transit Industrial Electronics,,Transit Industrial Electrical,,,,Transit Technology
,Academy of Innovative Technology,19K618,Yes,,,,,,,,,,AOIT: Computer Repair; Academy of Information Technology/Web Design; Information Technology/Game Systems Design,,,,,,
,W. H. Maxwell Career and Technical Education High School,19K660,Yes,,,Apparel Design; Communication Media,,,,Medical Assistant/Billing and Coding; Vision Technology,,,,,,Cosmetology,,,
,The Urban Assembly School for Collaborative Healthcare,19K764,Yes,,,,,,,"Business of Healthcare (Proposed Program); Community  Health Care (Proposed Program); Health Professions and Related Clinical Services, Other",,,,,,,,,
,New Utrecht High School,20K445,,,,,Entrepreneurship,,,Medical Assistant/Billing and Coding,Academy of Hospitality and Tourism,,,Law Academy/Legal Studies,,,,,
,High School of Telecommunication Arts and Technology,20K485,,,,,,,,,,,,,,,,Software Engineering Pilot,
,Fort Hamilton High School,20K490,,,,,Entrepreneurship/Virtual Enterprise,,,,,,,Law Academy/Legal Studies,,,,,
,Abraham Lincoln High School,21K410,,,,,Entrepreneurship/Virtual Enterprise,,,Pre-Veterinary Science,,,,,,,,,
,Edward R. Murrow High School,21K525,,,,,Entrepreneurship/Virtual Enterprise,,,,,,,,,,,,
,John Dewey High School,21K540,,,,,Academy of Finance,,,,,,,,,,,,
,Life Academy High School for Film and Music,21K559,,,,Film and Video Production,,,,,,,,,,,,,
,William E. Grady Career and Technical Education High School,21K620,Yes,,Construction Technology,,,,,Nursing Assistant,Culinary Arts,,A+ Computer Repair,,,,,,Automotive Technician
,Brooklyn Studio Secondary School,21K690,,,,,,,,,,,Digital Media,,,,,,
,Midwood High School,22K405,,,,Media Production,,,,,,,,Law Academy/Legal Studies,,,,Pre-Engineering,
,James Madison High School,22K425,,,,,Academy of Finance/Financial Management,,,,,,Academy of Information Technology,Law Academy/Legal Studies,,,,,
,International High School for Health Sciences,24Q236,,,,,,,,Health Sciences,,,,,,,,,
,Academy of Finance and Enterprise,24Q264,,,,,Academy of Finance; Entrepreneurship/Virtual Enterprise,,,,,,,,,,,,
