Bookmarked Schools,School Name,School DBN,AP Courses Offered,,,,,,,,,,,,
,,,Arts,English,Government,History,Languages,Math,Science,Social Science,,,,,
,Brooklyn Technical High School,13K430,Studio Art,English,US Government and Politics,"European History, US History, World History","Chinese, Spanish","Calculus, Computer Science, Statistics","Biology, Chemistry, Environmental Science, Physics","Economics, Human Geography, Psychology",,,,,
,Brooklyn Theatre Arts High School,18K567,,English,,,,Statistics,,,,,,,
,Bushwick School for Social Justice,32K549,,English,,US History,Spanish,,Environmental Science,,,,,,
,Business Of Sports School (BOSS),02M393,,English,,US History,,,Environmental Science,Psychology,,,,,
,Cambria Heights Academy,29Q326,,,,World History,,,,,,,,,
,"Celia Cruz Bronx High School of Music, The",10X442,,English,,,Spanish,,Biology,Economics,,,,,
,Central Park East High School,04M555,,English,,US History,,"Calculus, Statistics",Environmental Science,,,,,,
,Channel View School for Research,27Q262,,English,,US History,,,"Biology, Environmental Science",Psychology,,,,,
,Chelsea Career and Technical Education High School,02M615,,English,,US History,,Calculus,,Psychology,,,,,
,Civic Leadership Academy,24Q293,,English,,US History,,,,,,,,,
,Clara Barton High School,17K600,,English,US Government and Politics,"US History, World History",,,Biology,,,,,,
,Claremont International HS,09X564,,,,,"French, Spanish",,,,,,,,
,Coalition School for Social Change,04M409,,English,,,,Statistics,"Biology, Environmental Science",,,,,,
,Cobble Hill School of American Studies,15K519,,English,US Government and Politics,"US History, World History",,,,,,,,,
,Collegiate Institute for Math and Science (CIMS),11X288,Studio Art,English,,US History,Spanish,"Calculus, Statistics","Chemistry, Physics",,,,,,
,Columbia Secondary School,05M362,,English,,US History,Spanish,,"Biology, Environmental Science, Physics",,,,,,
,Community Health Academy of the Heights,06M346,Studio Art,English,,,Spanish,,,,,,,,
,Comprehensive Model School Project M.S. 327,09X327,,English,,European History,,,Biology,,,,,,
,CSI High School for International Studies,31R047,Studio Art,English,Comparative Government and Politics,US History,,Calculus,Biology,,,,,,
,Curtis High School,31R450,,English,,European History,,Calculus,,,,,,,
,Cypress Hills Collegiate Preparatory School,19K659,,English,US Government and Politics,World History,Spanish,,Biology,,,,,,
,DeWitt Clinton High School,10X440,,English,US Government and Politics,"European History, US History, World History",Spanish,"Calculus, Statistics","Biology, Chemistry",Economics,,,,,
,Digital Arts and Cinema Technology High School (Brooklyn School for Global Studies),15K429,Art History,English,,,,,,,,,,,
,Discovery High School,10X549,,English,,US History,Spanish,,Environmental Science,,,,,,
,Dr. Susan S. McKinney Secondary School of the Arts,13K265,,English,,,,,,,,,,,
,DreamYard Preparatory School,09X329,,English,,US History,Spanish,,,,,,,,
,Eagle Academy for Young Men II,23K644,Music Theory,English,,US History,,Calculus,Biology,,,,,,
,East Bronx Academy for the Future,12X271,,English,,,,,Chemistry,,,,,,
,East New York Family Academy,19K409,,English,,US History,,Statistics,Environmental Science,,,,,,
,East Side Community School,01M450,,English,,,,Calculus,,,,,,,
,East-West School of International Studies,25Q281,,English,,,,"Calculus, Computer Science",Environmental Science,Psychology,,,,,
,EBC High School for Public Service - Bushwick,32K545,,English,,,,,Chemistry,,,,,,
,Edward R. Murrow High School,21K525,Music Theory,English,US Government and Politics,US History,"Chinese, Italian, Spanish","Calculus, Computer Science, Statistics","Chemistry, Physics",Economics,,,,,
,Eleanor Roosevelt High School,02M416,"Art History, Music Theory",English,Comparative Government and Politics,"US History, World History",,"Calculus, Statistics","Biology, Chemistry",Economics,,,,,
,Esperanza Preparatory Academy,04M372,Studio Art,English,,US History,Spanish,,,,,,,,
,Essex Street Academy,02M294,,,,,Spanish,Calculus,,,,,,,
,Eximius College Preparatory Academy: A College Board School,09X250,,English,,US History,Spanish,Computer Science,,,,,,,
,Expeditionary Learning School for Community Leaders,21K572,,,,,,Calculus,,,,,,,
,Explorations Academy,12X251,,English,,,,,,,,,,,
,Fannie Lou Hamer Freedom High School,12X682,,English,,,,,,,,,,,
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,"Art History, Music Theory, Studio Art",English,Comparative Government and Politics,"US History, World History","French, Italian, Japanese, Spanish","Calculus, Statistics","Biology, Chemistry, Environmental Science, Physics","Human Geography, Psychology",,,,,
,Flushing High School,25Q460,,English,,US History,Spanish,Calculus,"Biology, Chemistry, Environmental Science, Physics",Economics,,,,,
,Food and Finance High School,02M288,,English,US Government and Politics,US History,,,Environmental Science,,,,,,
,Fordham High School for the Arts,10X437,"Music Theory, Studio Art",English,US Government and Politics,US History,,,Environmental Science,,,,,,
,Fordham Leadership Academy for Business and Technology,10X438,,,,,,,Environmental Science,,,,,,
,Forest Hills High School,28Q440,Art History,English,US Government and Politics,"US History, World History","Chinese, French, Spanish","Calculus, Computer Science, Statistics","Biology, Environmental Science, Physics","Economics, Human Geography, Psychology",,,,,
,Fort Hamilton High School,20K490,Studio Art,English,US Government and Politics,"US History, World History",Chinese,Calculus,"Biology, Chemistry, Environmental Science, Physics",Psychology,,,,,
,Francis Lewis High School,26Q430,,English,US Government and Politics,"US History, World History","Chinese, Japanese, Spanish","Calculus, Computer Science, Statistics","Biology, Chemistry, Physics","Economics, Human Geography",,,,,
,Frank Sinatra School of the Arts High School,30Q501,,English,,"US History, World History",,Calculus,,,,,,,
,Franklin Delano Roosevelt High School,20K505,,English,,US History,,"Calculus, Statistics","Biology, Chemistry",,,,,,
,Frederick Douglass Academy,05M499,,English,,European History,Spanish,"Calculus, Computer Science, Statistics","Biology, Chemistry, Physics",Economics,,,,,
,Frederick Douglass Academy II Secondary School,03M860,,English,,US History,,Statistics,Environmental Science,,,,,,
,Frederick Douglass Academy III Secondary School,09X517,,English,,US History,Spanish,Calculus,Biology,Psychology,,,,,
,Frederick Douglass Academy VII High School,23K514,,English,,,,,,,,,,,
,Gaynor McCown Expeditionary Learning School,31R064,,English,,"US History, World History",,Calculus,"Biology, Environmental Science",,,,,,
,George Washington Carver High School for the Sciences,29Q272,,English,,US History,,Statistics,Environmental Science,Economics,,,,,
,George Westinghouse Career and Technical Education High School,13K605,,English,,"US History, World History",,,,,,,,,
,Gramercy Arts High School,02M374,,,,US History,,,Environmental Science,"Human Geography, Psychology",,,,,
,Green School: An Academy for Environmental Careers,14K454,,English,,US History,,Statistics,Environmental Science,,,,,,
,Gregorio Luperon High School for Science and Mathematics,06M552,Music Theory,,,,Spanish,"Calculus, Computer Science","Biology, Physics",,,,,,
,Grover Cleveland High School,24Q485,,English,,"European History, US History",Spanish,"Calculus, Statistics","Biology, Chemistry",,,,,,
,Harry S Truman High School,11X455,Studio Art,English,,US History,Spanish,"Calculus, Statistics","Biology, Chemistry",,,,,,
,Harvest Collegiate High School,02M534,,English,,US History,,"Calculus, Statistics",Environmental Science,,,,,,
,Health Opportunities High School,07X670,,English,,"European History, US History",Spanish,,Biology,,,,,,
,Herbert H. Lehman High School,08X405,,English,US Government and Politics,"US History, World History",Spanish,"Calculus, Statistics",Environmental Science,Psychology,,,,,
,"Heritage School, The",04M680,Studio Art,English,,US History,Spanish,,,,,,,,
,High School for Arts and Business,24Q550,Art History,,,"US History, World History",,,,Psychology,,,,,
,High School for Community Leadership,28Q328,,English,,US History,,,Biology,,,,,,
,"High School for Construction Trades, Engineering and Architecture",27Q650,,English,,"US History, World History",,"Calculus, Statistics",Biology,,,,,,
,High School for Dual Language and Asian Studies,02M545,,English,,,Chinese,Calculus,"Biology, Chemistry, Environmental Science",,,,,,
,High School for Environmental Studies,02M400,,English,US Government and Politics,"US History, World History",Spanish,Calculus,"Biology, Chemistry, Environmental Science, Physics","Economics, Human Geography",,,,,
,High School for Excellence and Innovation,06M423,,English,,,,,,,,,,,
,High School for Health Careers and Sciences,06M468,,English,,,,,,,,,,,
,High School for Health Professions and Human Services,02M420,,English,US Government and Politics,"US History, World History",Spanish,Calculus,"Biology, Chemistry",,,,,,
,High School for Innovation in Advertising and Media,18K617,,English,,,,,,,,,,,
,High School for Law and Public Service,06M467,,English,Comparative Government and Politics,"US History, World History",Spanish,Calculus,,Psychology,,,,,
