Bookmarked Schools,School Name,School DBN,AP Courses Offered,,,,,,,,,,,,
,,,Arts,English,Government,History,Languages,Math,Science,Social Science,,,,,
,Thomas A. Edison Career and Technical Education High School,28Q620,,English,US Government and Politics,"US History, World History",,"Calculus, Statistics",Biology,Psychology,,,,,
,Thurgood Marshall Academy for Learning and Social Change,05M670,,English,,,,,Biology,,,,,,
,Tottenville High School,31R455,,English,US Government and Politics,"US History, World History",,Calculus,"Biology, Chemistry, Physics",Psychology,,,,,
,Townsend Harris High School,25Q525,Music Theory,English,US Government and Politics,"US History, World History","Japanese, Latin, Spanish","Calculus, Statistics","Biology, Environmental Science, Physics","Economics, Human Geography, Psychology",,,,,
,Transit Tech Career and Technical Education High School,19K615,,English,,,,,,,,,,,
,Union Square Academy for Health Sciences,02M533,,English,,US History,,,Biology,,,,,,
,Unity Center for Urban Technologies,02M500,,English,,,,,Environmental Science,,,,,,
,University Heights Secondary School,07X495,,English,,,,Calculus,,,,,,,
,University Neighborhood High School,01M448,Studio Art,English,US Government and Politics,,"Chinese, Spanish",Calculus,,,,,,,
,Urban Action Academy,18K642,,English,,,,,,,,,,,
,"Urban Assembly Academy of Government and Law, The",02M305,,English,,US History,Spanish,,,,,,,,
,Urban Assembly Gateway School for Technology,02M507,,English,,US History,,"Calculus, Statistics","Biology, Chemistry",,,,,,
,Urban Assembly High School of Music and Art,13K350,,English,US Government and Politics,,,,,,,,,,
,Urban Assembly New York Harbor School,02M551,,English,,,,Calculus,,,,,,,
,"Urban Assembly School for Applied Math and Science, The",09X241,,,,,,Calculus,,,,,,,
,Urban Assembly School for Careers in Sports,07X548,,,US Government and Politics,,,Calculus,,,,,,,
,Urban Assembly School for Criminal Justice,20K609,,English,,US History,,Calculus,Environmental Science,,,,,,
,"Urban Assembly School for Media Studies, The",03M307,,,,,,Calculus,,,,,,,
,Urban Assembly School for the Performing Arts,05M369,,English,,,,,,,,,,,
,Urban Assembly School for Wildlife Conservation,12X372,Studio Art,English,,,,,Environmental Science,,,,,,
,"Urban Assembly School of Business for Young Women, The",02M316,,English,,,,,,,,,,,
,"Urban Assembly School of Design and Construction, The",02M300,,English,US Government and Politics,US History,,Statistics,,,,,,,
,Validus Preparatory Academy: An Expeditionary Learning School,09X263,,English,,,,,,,,,,,
,Vanguard High School,02M449,,,,,,Calculus,Physics,,,,,,
,Veritas Academy,25Q240,,English,,World History,Spanish,,,,,,,,
,Victory Collegiate High School,18K576,,English,,,,,,,,,,,
,W. H. Maxwell Career and Technical Education High School,19K660,,English,,,,,Biology,,,,,,
,Wadleigh Secondary School for the Performing & Visual Arts,03M415,,English,,World History,,,,,,,,,
,Washington Heights Expeditionary Learning School (WHEELS),06M348,,English,,,Spanish,"Calculus, Statistics",,,,,,,
,West Bronx Academy for the Future,10X243,Studio Art,English,US Government and Politics,,Spanish,Calculus,,,,,,,
,Westchester Square Academy,08X558,,,,US History,Spanish,,Environmental Science,,,,,,
,William Cullen Bryant High School,30Q445,,,US Government and Politics,"US History, World History",Spanish,"Calculus, Statistics","Biology, Chemistry, Physics",,,,,,
,William E. Grady Career and Technical Education High School,21K620,,English,,US History,,,Biology,,,,,,
,Williamsburg High School for Architecture and Design,14K558,,,,,Spanish,Calculus,Environmental Science,Human Geography,,,,,
,Williamsburg Preparatory School,14K561,,English,,US History,Spanish,Calculus,,,,,,,
,Wings Academy,12X684,,English,US Government and Politics,US History,Spanish,Statistics,,,,,,,
,World Academy for Total Community Health High School (WATCH),19K510,,English,,,,,Biology,,,,,,
,World Journalism Preparatory: A College Board School,25Q285,,English,,"US History, World History",,,Environmental Science,Economics,,,,,
,Young Women’s Leadership School (TYWLS),04M610,,English,US Government and Politics,,Spanish,,,,,,,,
,Young Women's Leadership School of Brooklyn (TYWLS),14K614,,English,,,,Computer Science,Biology,Psychology,,,,,
,"Young Women's Leadership School, Queens (TYWLS)",28Q896,,English,,US History,,Calculus,Environmental Science,,,,,,
